タイトル,順位,得意先コード,得意先名称,得意先名称２,ランク,重点,業態,担当者,カテゴリー名,地区名称,電話番号,住所１,住所２,住所３,売上金額,粗利金額,前年対比率,前年売上,前年粗利,前々年売上,前々年粗利
"	【売上金額／ベスト順】    25/02/01～26/01/31",1,"	0043006","	幸南食糧（株）","	","	S","	","	卸","	見上","	見上　大阪Ａ","	大阪","	0723321150","	大阪府　松原市三宅西５－７５１","	","	",118543065,8752938,102.22,115970193,9938272,137022833,6840973
"	【売上金額／ベスト順】    25/02/01～26/01/31",2,"	0075096","	（株）柳田商店","	","	A","	","	卸","	松本","	松本　関東・卸","	茨城","	0292920353","	茨城県　東茨城郡茨城町長岡","	        ４０７０－２６０","	",94715446,13635596,133.62,70885117,12011964,51592881,8039458
"	【売上金額／ベスト順】    25/02/01～26/01/31",3,"	0020101","	（株）ユアファミリ（売上４時迄","	","	","	","	その他","	松浦","	ユアファミリ","	大阪","	0666761717","	大阪府　大阪市住吉区上住吉","	　　　　１－３－１６","	",80598445,4314479,80.00,100748980,5996754,103208651,5764364
"	【売上金額／ベスト順】    25/02/01～26/01/31",4,"	0071008","	（有）ミルテック　＊　　　　Ⅰ","	","	","	","	代理店","	沖本","	沖本　中国","	広島","	0824239577","	広島県　東広島市西条町西条東","	　　　　１２７６－２","	",76891185,11712257,86.14,89267037,13254678,87605299,12598754
"	【売上金額／ベスト順】    25/02/01～26/01/31",5,"	0070193","	（株）ヒョウベイ","	","	A","	1","	卸","	木村寿","	木村寿　兵庫Ａ","	兵庫","	0786526336","	兵庫県　神戸市兵庫区御崎本町","	　　　　４－２－７","	",75080727,8323090,213.63,35146000,3256785,38179856,2745798
"	【売上金額／ベスト順】    25/02/01～26/01/31",6,"	0076371","	（株）百萬粒","	","	A","	","	卸","	山本","	山本　新潟","	新潟","	0256943430","	新潟県　西蒲原郡弥彦村大字村山","	　　　　字蒲田７４７番地","	",57876112,7666075,83.35,69434479,4891798,55128875,3759858
"	【売上金額／ベスト順】    25/02/01～26/01/31",7,"	0074345","	（株）田中米穀","	","	A","	","	卸","	山本","	山本　新潟","	新潟","	0258253811","	新潟県　長岡市新組町２２５０","	","	",47711187,7174645,119.91,39789593,5655368,28018186,3539811
"	【売上金額／ベスト順】    25/02/01～26/01/31",8,"	0083170","	中央製袋（株）佐賀　　　　　Ⅰ","	","	","	","	代理店","	堀川","	堀川　佐賀","	佐賀","	0943741511","	福岡県　久留米市田主丸町大字","	　　　　鷹取７６０ー１","	",46267605,6179026,80.78,57278368,7381367,0,0
"	【売上金額／ベスト順】    25/02/01～26/01/31",9,"	0020444","	楽天市場","	","	W","	","	取扱店","	ＷＥＢ","	ＷＥＢ木村拓","	大阪","	999","	-","	","	",35628286,10446790,130.30,27342974,8349492,27511305,8150619
"	【売上金額／ベスト順】    25/02/01～26/01/31",10,"	0074459","	シマヤ（株）","	","	A","	","	卸","	木村寿","	木村寿　愛知","	愛知","	0567330808","	愛知県　津島市神尾町蛤田","	　　　　４１－１","	",35355986,8104275,73.37,48187967,10117473,42031524,7337325
